AccountID,StatementFrequency,OpenedDate
1,Monthly,2018-03-24
2,Monthly,2016-02-26
3,Monthly,2020-07-07
4,Monthly,2019-02-21
5,Monthly,2020-05-30
6,Monthly,2017-09-27
7,Monthly,2019-11-24
8,Monthly,2018-09-21
9,Monthly,2016-01-27
10,Monthly,2019-08-28
11,Monthly,2018-10-10
12,Monthly,2020-04-15
13,Monthly,2020-08-17
14,Monthly,2019-11-27
15,Monthly,2016-10-02
16,Monthly,2020-09-23
17,Monthly,2020-01-08
18,Weekly,2016-05-26
19,Monthly,2018-04-07
20,Monthly,2019-08-24
21,Monthly,2020-12-06
22,Monthly,2017-03-23
23,Monthly,2016-05-22
24,Monthly,2019-12-05
25,Monthly,2019-07-28
26,Monthly,2016-08-08
27,Monthly,2016-09-26
29,Monthly,2017-11-24
30,Monthly,2018-03-04
31,Monthly,2017-04-27
32,Monthly,2018-08-28
33,Monthly,2016-08-26
34,Weekly,2016-09-17
35,Monthly,2016-07-07
36,Monthly,2016-07-01
37,Monthly,2020-08-18
38,Weekly,2020-08-08
39,Monthly,2016-09-22
40,Monthly,2016-10-25
41,Monthly,2020-08-02
42,Monthly,2019-08-16
43,Monthly,2017-06-12
44,Monthly,2016-05-10
45,Monthly,2020-09-02
47,Monthly,2016-08-08
48,Monthly,2019-11-17
49,Monthly,2020-04-06
50,Monthly,2017-05-06
51,Monthly,2019-05-11
52,Monthly,2020-01-29
53,Monthly,2018-06-07
54,Monthly,2018-05-02
55,Monthly,2019-02-19
56,Monthly,2017-05-16
57,Monthly,2018-05-21
58,Monthly,2019-08-23
59,Monthly,2017-03-27
61,Monthly,2016-12-11
62,Monthly,2016-03-28
63,Monthly,2019-11-16
64,Monthly,2020-03-11
65,Monthly,2019-10-29
66,Issuance After Transaction,2016-12-03
67,Monthly,2017-10-19
68,Issuance After Transaction,2017-12-20
69,Monthly,2019-01-12
70,Monthly,2018-02-18
71,Monthly,2017-03-05
72,Weekly,2019-06-20
73,Monthly,2016-11-08
75,Monthly,2018-08-13
76,Monthly,2019-05-16
77,Monthly,2019-11-19
78,Monthly,2016-07-07
79,Monthly,2019-11-29
80,Monthly,2018-09-27
