DispositioID,CustomerID,AccountID,Type
1,1,1,Owner
2,2,2,Owner
3,3,2,Disponent
4,4,3,Owner
5,5,3,Disponent
6,6,4,Owner
7,7,5,Owner
8,8,6,Owner
9,9,7,Owner
10,10,8,Owner
11,11,8,Disponent
12,12,9,Owner
13,13,10,Owner
14,14,11,Owner
15,15,12,Owner
16,16,12,Disponent
17,17,13,Owner
18,18,13,Disponent
19,19,14,Owner
20,20,15,Owner
21,21,16,Owner
22,22,17,Owner
23,23,17,Disponent
24,24,18,Owner
25,25,19,Owner
26,26,20,Owner
27,27,21,Owner
28,28,22,Owner
29,29,23,Owner
30,30,24,Owner
31,31,25,Owner
32,32,26,Owner
33,33,27,Owner
36,36,29,Owner
37,37,29,Disponent
38,38,30,Owner
39,39,31,Owner
40,40,32,Owner
41,41,33,Owner
42,42,34,Owner
43,43,35,Owner
44,44,36,Owner
45,45,37,Owner
46,46,38,Owner
47,47,39,Owner
48,48,40,Owner
49,49,41,Owner
50,50,42,Owner
51,51,43,Owner
52,52,44,Owner
53,53,45,Owner
55,55,47,Owner
56,56,48,Owner
57,57,48,Disponent
58,58,49,Owner
59,59,50,Owner
60,60,51,Owner
61,61,52,Owner
62,62,53,Owner
63,63,54,Owner
64,64,55,Owner
65,65,56,Owner
66,66,57,Owner
67,67,58,Owner
68,68,59,Owner
70,70,61,Owner
71,71,61,Disponent
72,72,62,Owner
73,73,63,Owner
74,74,63,Disponent
75,75,64,Owner
76,76,65,Owner
77,77,66,Owner
78,78,67,Owner
79,79,68,Owner
80,80,69,Owner
81,81,70,Owner
82,82,70,Disponent
83,83,71,Owner
84,84,71,Disponent
85,85,72,Owner
86,86,72,Disponent
87,87,73,Owner
89,89,75,Owner
90,90,76,Owner
91,91,77,Owner
92,92,78,Owner
93,93,79,Owner
94,94,80,Owner
95,95,80,Disponent
96,96,81,Owner
97,97,82,Owner
98,98,83,Owner
99,99,83,Disponent
100,100,84,Owner
101,101,85,Owner
102,102,86,Owner
103,103,86,Disponent
105,105,88,Owner
106,106,89,Owner
107,107,90,Owner
108,108,91,Owner
110,110,93,Owner
112,112,95,Owner
113,113,95,Disponent
114,114,96,Owner
115,115,96,Disponent
116,116,97,Owner
117,117,97,Disponent
118,118,98,Owner
119,119,98,Disponent
120,120,99,Owner
121,121,100,Owner
122,122,101,Owner
123,123,102,Owner
124,124,103,Owner
125,125,104,Owner
126,126,104,Disponent
127,127,105,Owner
128,128,106,Owner
129,129,107,Owner
130,130,108,Owner
131,131,109,Owner
132,132,110,Owner
134,134,112,Owner
135,135,112,Disponent
136,136,113,Owner
137,137,114,Owner
138,138,115,Owner
139,139,116,Owner
140,140,116,Disponent
141,141,117,Owner
142,142,118,Owner
143,143,119,Owner
144,144,120,Owner
145,145,121,Owner
146,146,122,Owner
147,147,123,Owner
148,148,123,Disponent
149,149,124,Owner
150,150,125,Owner
151,151,126,Owner
152,152,127,Owner
153,153,128,Owner
154,154,129,Owner
155,155,129,Disponent
156,156,130,Owner
157,157,131,Owner
158,158,132,Owner
159,159,132,Disponent
160,160,133,Owner
161,161,134,Owner
162,162,135,Owner
163,163,136,Owner
164,164,137,Owner
165,165,138,Owner
166,166,138,Disponent
167,167,139,Owner
168,168,140,Owner
169,169,141,Owner
170,170,141,Disponent
171,171,142,Owner
172,172,142,Disponent
173,173,143,Owner
174,174,144,Owner
175,175,145,Owner
176,176,146,Owner
178,178,148,Owner
179,179,149,Owner
180,180,150,Owner
181,181,151,Owner
182,182,151,Disponent
183,183,152,Owner
184,184,152,Disponent
185,185,153,Owner
186,186,154,Owner
187,187,155,Owner
188,188,156,Owner
189,189,157,Owner
190,190,158,Owner
191,191,158,Disponent
192,192,159,Owner
193,193,160,Owner
194,194,161,Owner
195,195,162,Owner
196,196,162,Disponent
197,197,163,Owner
198,198,164,Owner
199,199,165,Owner
200,200,165,Disponent
201,201,166,Owner
202,202,167,Owner
203,203,168,Owner
204,204,168,Disponent
205,205,169,Owner
206,206,170,Owner
207,207,171,Owner
208,208,172,Owner
209,209,172,Disponent
210,210,173,Owner
211,211,173,Disponent
212,212,174,Owner
215,215,176,Owner
216,216,177,Owner
217,217,178,Owner
218,218,179,Owner
219,219,180,Owner
221,221,181,Owner
222,222,182,Owner
223,223,183,Owner
224,224,184,Owner
225,225,185,Owner
226,226,186,Owner
227,227,187,Owner
228,228,188,Owner
229,229,189,Owner
230,230,190,Owner
231,231,191,Owner
232,232,192,Owner
233,233,193,Owner
234,234,193,Disponent
235,235,194,Owner
236,236,195,Owner
237,237,195,Disponent
238,238,196,Owner
239,239,197,Owner
240,240,198,Owner
241,241,199,Owner
242,242,200,Owner
243,243,201,Owner
246,246,204,Owner
247,247,205,Owner
248,248,206,Owner
249,249,206,Disponent
250,250,207,Owner
251,251,208,Owner
252,252,209,Owner
253,253,210,Owner
254,254,211,Owner
255,255,212,Owner
256,256,213,Owner
