TransactionID,AccountID,TransactionDate,Amount,Balance,TransactionMethod
30056,97,2021-02-07 00:00:00,15,34562,6
32725,105,2020-10-08 00:00:00,3200,21715,4
34076,110,2019-07-17 00:00:00,900,900,1
34086,110,2019-10-13 00:00:00,23438,63103.5,1
34136,110,2020-12-06 00:00:00,3050,46892.1992,6
40428,132,2020-09-17 00:00:00,11237,97863.5,1
40502,132,2020-05-05 00:00:00,6376,58253.5,2
587634,2000,2021-09-08 00:00:00,3318,64170.1016,6
587674,2000,2021-01-06 00:00:00,14,40535.8008,6
791701,2699,2021-04-22 00:00:00,9600,32268.5,4
799233,2725,2021-05-14 00:00:00,3197,59923,6
799318,2725,2021-12-17 00:00:00,2900,77388.5,5
1946043,6592,2021-01-04 00:00:00,2100,70921.6016,4
2051952,6950,2021-06-13 00:00:00,8561,72396.8984,6
2308072,7614,2021-03-31 00:00:00,14.6,42954.1016,4
3620526,2725,2021-05-31 00:00:00,217,46474,1
89887,303,2020-11-09 00:00:00,3803,56117.6016,6
99058,339,2020-08-12 00:00:00,46807,58181.5,3
99067,339,2021-05-12 00:00:00,46807,91472.6016,3
99126,339,2020-04-08 00:00:00,4087,64242.8984,6
99135,339,2021-01-08 00:00:00,4087,53876,6
99220,339,2021-01-24 00:00:00,7200,65533.8984,4
99289,339,2020-12-05 00:00:00,11000,43259.6016,4
1736613,5891,2016-06-12 00:00:00,48891,102410.2969,3
1736672,5891,2021-05-12 00:00:00,32594,132599.2031,3
1736944,5891,2021-06-30 00:00:00,14.6,110403.7031,4
1736953,5891,2016-05-25 00:00:00,29400,53308,4
1752806,5944,2020-08-05 00:00:00,12200,35591.3008,4
1754182,5952,2017-08-10 00:00:00,35312,75337.5,3
1754259,5952,2018-01-12 00:00:00,5885.2998,67905.2031,6
1754302,5952,2021-08-01 00:00:00,3800,54122.8984,4
1754370,5952,2021-04-09 00:00:00,3028,49488.6992,6
1777816,6030,2018-06-12 00:00:00,1177,40513.8008,6
1814550,6148,2018-04-13 00:00:00,23038,52254.1992,1
1817728,6157,2020-10-24 00:00:00,31182,73538,1
1852846,6273,2018-01-21 00:00:00,47370,62803.8008,1
1876124,6353,2017-06-12 00:00:00,36634.5,56963.5,1
1876403,6353,2018-01-30 00:00:00,3200,37645.8984,4
1879429,6363,2019-05-11 00:00:00,11720,50712.8008,1
3548701,544,2020-02-28 00:00:00,256.2,65144.3984,1
162978,544,2021-01-21 00:00:00,20700,35128.3984,4
163088,544,2021-08-27 00:00:00,3900,50314.5,1
464504,1580,2020-06-30 00:00:00,14.6,34183.8984,4
854303,2912,2019-05-23 00:00:00,40900,91600.7031,1
854328,2912,2020-07-30 00:00:00,42154,79580.5,1
854566,2912,2017-08-29 00:00:00,13700,14800,1
854609,2912,2020-02-14 00:00:00,26500,49021.3984,4
875487,2982,2021-11-30 00:00:00,14.6,48666.1992,4
878972,2994,2020-08-12 00:00:00,19069,62530.1016,1
1197498,4099,2021-05-12 00:00:00,872,53912.1992,6
1268210,4337,2020-02-28 00:00:00,14400,51967.1992,4
3509799,9265,2021-11-30 00:00:00,218.9,54262.1016,1
3512002,9504,2021-11-30 00:00:00,88,19346.5996,1
3514824,9790,2021-04-30 00:00:00,159.2,71284,1
3515096,9814,2018-10-31 00:00:00,270.1,52253.8008,1
3517646,10079,2019-09-30 00:00:00,382.9,78365.2969,1
3522297,10520,2019-03-31 00:00:00,361.8,36137.3984,1
3522304,10520,2019-10-31 00:00:00,361.8,27869.6992,1
3522834,10613,2020-12-31 00:00:00,272.6,72146.5,1
3527057,11042,2019-08-31 00:00:00,262.2,54453,1
3527481,11079,2019-01-31 00:00:00,440.8,68332.2031,1
